Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
Life of Samuel Johnson,Q1218644,1564,"Boswell's Life of Johnson\•Abridged and edited, with an introduction by Charles Grosvenor Osgood",
The Last Days of Pompeii,Q1218985,1565,The Last Days of Pompeii,
Aucassin and Nicolette,Q758575,1578,Aucassin and Nicolete,
The Wrong Box (novel),Q3548866,1585,The Wrong Box,
The Ebb-Tide,Q4674957,1604,The Ebb-Tide: A Trio And Quartette,
Kenilworth (novel),Q2600597,1606,Kenilworth,
A Journey in Other Worlds,Q4657515,1607,A Journey in Other Worlds: A Romance of the Future,
Seventeen (Tarkington novel),Q7457628,1611,"Seventeen\•A Tale of Youth and Summer Time and the Baxter Family, Especially William",
La Celestina,Q583705,1619,?,
The Law and the Lady,Q3480742,1622,The Law and the Lady,
After Dark (short story collection),Q16974375,1626,After Dark,
Lilith (novel),Q3832392,1640,Lilith: A Romance,
The Imitation of Christ,Q670350,1653,?,
A Scandal in Bohemia,Q265546,1661,The Adventures of Sherlock Holmes,
The Adventures of Sherlock Holmes,Q392147,1661,The Adventures of Sherlock Holmes,
The Egoist (novel),Q7731638,1684,The Egoist: A Comedy in Narrative,
The Mystery of the Yellow Room,Q2563691,1685,The Mystery of the Yellow Room,
The People of the Abyss,Q530172,1688,The People of the Abyss,
Marie (novel),Q6762733,1690,Marie: An Episode in the Life of the Late Allan Quatermain,
The Man Who Was Thursday,Q959816,1695,The Man Who Was Thursday: A Nightmare,
The Club of Queer Trades,Q3221512,1696,The Club of Queer Trades,
The Survivors of the Chancellor,Q1192756,1698,The Survivors of the Chancellor,
New Grub Street,Q7007870,1709,New Grub Street,
Child of Storm,Q5097889,1711,Child of Storm,
The Rescue (Conrad novel),Q1090228,1712,The Rescue: A Romance of the Shallows,
Eugénie Grandet,Q1373644,1715,Eugenie Grandet,
Manalive,Q3828527,1718,Manalive,
Finished (novel),Q5450349,1724,Finished,
Cousin Bette,Q2712800,1749,Cousin Betty,
Laws (dialogue),Q752285,1750,Laws,
War and the Future,Q7968584,1804,"War and the Future: Italy, France and Britain at War",
The Financier,Q577607,1840,The Financier: A Novel,
Z. Marcas,Q3107447,1841,Z. Marcas,
Michael Strogoff,Q1121567,1842,"Michael Strogoff; Or, The Courier of the Czar",
Zuleika Dobson,Q8075113,1845,"Zuleika Dobson; Or, An Oxford Love Story",
Montezuma's Daughter,Q401954,1848,Montezuma's Daughter,
Le Cousin Pons,Q2699195,1856,Cousin Pons,
Westward Ho! (novel),Q7989800,1860,"Westward Ho! Or, The Voyages and Adventures of Sir Amyas Leigh, Knight, of Burrough, in the County of Devon, in the Reign of Her Most Glorious Majesty Queen Elizabeth",
Tartarin of Tarascon,Q1691889,1862,Tartarin of Tarascon,
The Red House Mystery,Q7759881,1872,The Red House Mystery,
The Railway Children,Q969970,1874,The Railway Children,
"The Pathfinder, or The Inland Sea",Q238652,1880,"The Pathfinder; Or, The Inland Sea",
Armadale (novel),Q4792516,1895,Armadale,
Typee,Q2463076,1900,Typee: A Romance of the South Seas,
Erewhon,Q1350048,1906,"Erewhon; Or, Over the Range",
The Drums of Jeopardy (novel),Q7731092,1913,The Drums of Jeopardy,
Penguin Island (novel),Q1213641,1930,Penguin Island,
The Second Jungle Book,Q1101819,1937,The Second Jungle Book,
Resurrection (novel),Q146866,1938,Resurrection,
Scaramouche (novel),Q533575,1947,Scaramouche: A Romance of the French Revolution,
The Story of a Bad Boy,Q7766815,1948,The Story of a Bad Boy,
Vril,Q510699,1951,The Coming Race,
Captain Blood (novel),Q2621164,1965,Captain Blood,
Catherine (novel),Q5052512,1969,Catherine: A Story,
Men's Wives,Q6816135,1985,Men's Wives,
Spirits in Bondage,Q7578079,2003,Spirits in Bondage: A Cycle of Lyrics,
